Algorithm,Framework,Seed,Coverage_Rate_%,Agent_Deaths,Cumulative_Reward,Avg_Battery_Level,Charging_Steps,Time_to_80%_Coverage_Steps
RSPO_Vanilla,RLlib,1000,43.68,0,1365.0,63.61,176,750
RSPO_Vanilla,RLlib,1001,44.16,1,1380.0,61.29,155,750
RSPO_Vanilla,RLlib,1002,64.64,2,2020.0,67.75,121,750
RSPO_Vanilla,RLlib,1003,45.44,2,1420.0,63.09,126,750
RSPO_Vanilla,RLlib,1004,43.84,3,1370.0,64.34,71,750
RSPO_Vanilla,RLlib,1005,52.48,1,1640.0,61.78,150,750
RSPO_Vanilla,RLlib,1006,38.4,2,1200.0,65.56,116,750
RSPO_Vanilla,RLlib,1007,57.6,2,1800.0,61.54,155,750
RSPO_Vanilla,RLlib,1008,44.0,1,1375.0,62.02,177,750
RSPO_Vanilla,RLlib,1009,45.6,1,1425.0,74.0,142,750
RSPO_Vanilla,RLlib,1010,52.0,2,1625.0,62.2,113,750
RSPO_Vanilla,RLlib,1011,40.96,3,1280.0,71.13,47,750
RSPO_Vanilla,RLlib,1012,38.72,1,1210.0,59.95,145,750
RSPO_Vanilla,RLlib,1013,60.32,1,1885.0,62.64,165,750
RSPO_Vanilla,RLlib,1014,43.84,4,1370.0,62.81,139,750
RSPO_Vanilla,RLlib,1015,43.68,0,1365.0,63.61,176,750
RSPO_Vanilla,RLlib,1016,68.48,2,2140.0,74.48,237,750
RSPO_Vanilla,RLlib,1017,51.04,1,1595.0,61.95,145,750
RSPO_Vanilla,RLlib,1018,43.68,1,1365.0,63.63,172,750
RSPO_Vanilla,RLlib,1019,56.16,2,1755.0,65.49,212,750
RSPO_Vanilla,RLlib,1020,43.68,0,1365.0,63.61,176,750
RSPO_Vanilla,RLlib,1021,55.84,2,1745.0,71.57,118,750
RSPO_Vanilla,RLlib,1022,41.6,2,1300.0,60.17,119,750
RSPO_Vanilla,RLlib,1023,42.72,1,1335.0,57.13,136,750
RSPO_Vanilla,RLlib,1024,46.72,2,1460.0,63.33,152,750
RSPO_Vanilla,RLlib,1025,52.0,2,1625.0,65.09,119,750
RSPO_Vanilla,RLlib,1026,43.68,0,1365.0,63.61,176,750
RSPO_Vanilla,RLlib,1027,52.16,3,1630.0,70.43,231,750
RSPO_Vanilla,RLlib,1028,55.36,4,1730.0,61.51,89,750
RSPO_Vanilla,RLlib,1029,49.6,3,1550.0,69.4,53,750
RSPO_Vanilla,RLlib,1030,61.44,3,1920.0,61.07,132,750
RSPO_Vanilla,RLlib,1031,29.6,4,925.0,65.54,0,750
RSPO_Vanilla,RLlib,1032,29.12,4,910.0,63.96,0,750
RSPO_Vanilla,RLlib,1033,40.32,2,1260.0,60.74,118,750
RSPO_Vanilla,RLlib,1034,37.12,1,1160.0,60.68,126,750
RSPO_Vanilla,RLlib,1035,38.72,1,1210.0,58.41,126,750
RSPO_Vanilla,RLlib,1036,44.32,3,1385.0,59.6,112,750
RSPO_Vanilla,RLlib,1037,44.8,1,1400.0,63.22,171,750
RSPO_Vanilla,RLlib,1038,61.44,1,1920.0,70.92,133,750
RSPO_Vanilla,RLlib,1039,32.16,4,1005.0,60.22,28,750
RSPO_Vanilla,RLlib,1040,53.28,2,1665.0,73.17,91,750
RSPO_Vanilla,RLlib,1041,39.2,1,1225.0,58.34,133,750
RSPO_Vanilla,RLlib,1042,49.12,3,1535.0,70.14,60,750
RSPO_Vanilla,RLlib,1043,45.6,2,1425.0,63.71,107,750
RSPO_Vanilla,RLlib,1044,44.64,1,1395.0,63.53,168,750
RSPO_Vanilla,RLlib,1045,43.68,0,1365.0,63.61,176,750
RSPO_Vanilla,RLlib,1046,48.64,1,1520.0,62.58,155,750
RSPO_Vanilla,RLlib,1047,51.36,1,1605.0,62.55,165,750
RSPO_Vanilla,RLlib,1048,57.12,3,1785.0,65.75,67,750
RSPO_Vanilla,RLlib,1049,44.32,2,1385.0,61.13,165,750
RSPO_Vanilla,RLlib,1050,43.68,0,1365.0,63.61,176,750
RSPO_Vanilla,RLlib,1051,43.68,0,1365.0,63.61,176,750
RSPO_Vanilla,RLlib,1052,55.2,2,1725.0,70.68,122,750
