Algorithm,Framework,Coverage Rate Mean (%),Coverage Std (%),Coverage 95% CI (±%),Agent Attrition Rate (Crashes/Ep),Swarm Survival Rate (%),Cumulative Return Mean,Fleet Battery Level Mean (%),Mean Charging Steps
RSPO_Vanilla,RLlib,46.92,8.5,1.67,1.81,54.8,1466.35,64.24,134.2
RSPO_SelfHeal,RLlib,67.17,15.21,2.98,2.04,49.0,2099.05,71.75,236.1
MAPPO_Vanilla,RLlib,23.44,5.15,1.01,3.52,12.0,732.45,71.47,277.8
MAPPO_SelfHeal,RLlib,56.24,10.34,2.03,2.45,38.7,1757.55,72.7,219.2
I-DQN_Vanilla,RLlib,0.36,0.19,0.04,2.78,30.5,11.3,111.53,1163.3
I-DQN_SelfHeal,RLlib,9.91,2.7,0.53,4.0,0.0,309.6,71.76,81.6
QMIX_Vanilla,EPyMARL,11.43,1.36,0.27,4.0,0.0,357.3,62.73,0.0
QMIX_SelfHeal,EPyMARL,13.76,2.53,0.5,4.0,0.0,430.05,67.5,40.4
MAA2C_Vanilla,EPyMARL,11.19,0.1,0.02,4.0,0.0,349.7,62.73,0.0
MAA2C_SelfHeal,EPyMARL,14.86,1.75,0.34,2.87,28.2,464.5,35.31,77.4
COMA_Vanilla,EPyMARL,5.42,0.25,0.05,2.21,44.8,169.25,103.08,333.2
COMA_SelfHeal,EPyMARL,2.08,0.0,0.0,2.09,47.8,65.0,118.79,1109.2
